MMS ID,Main title,Subject,Place of publication,Date 1,Language original,ie_folders
9920139550101488,Voyages en Europe.,UDC 910.4 <4> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Europa,Paris,1847,,IE55350893
9920144500101488,Voyage à Constantinople et en Égypte,UDC 910.4 <560> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Turkije;UDC 910.4 <620> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Egypte,Paris,1852,,IE55333838
9920936710101488,"Reizen uit Oost-Indië naar Europa; in Engeland, Nederland, Duitschland, Frankrijk en Zwitserland, gedaan in 1836.",UDC 910.4 <4-15> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--West-Europa,'s-Gravenhage,1840,,IE57272295
9921572680101488,"Voyages et aventures en Perse dans l'Afghanistan, le Beloutchistan et le Turkestan",UDC 910.4 <355> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Perzië. Persepolis;UDC 910.4 <55> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Iran;UDC 910.4 <581> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Afganistan,Paris,1870,eng,IE55358798
9932590900101488,"Il Moro trasportato nell'inclita città di Venetia, overo Curioso racconto de Costumi, Riti, e Religione de Popoli dell'Africa, America, Asia, é Europa.","UDC 266 <09> Missiegeschiedenis--(algemeen);UDC 271.36-9 Kapucijnen: missies;UDC 910.4 ""16"" Ontdekkingsreizen. Reizen. Expedities--""tijd""--17e eeuw. Periode 1600-1699",Bassano,1687,,IE56821118
9992239864701488,"Souvenirs de voyage,",UDC 910.4 <44> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Frankrijk,Bruxelles,1839,,IE57813097|IE57814434
992859850101488,Mon pélerinage aux Lieux-saints,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Langres,1874,,IE63430949|IE63433052|IE63436534
992859890101488,Guide-indicateur des sanctuaires et lieux historiques de la Terre-sainte.,KADOC bedevaarten;KADOC C1 Kerken en religie;KADOC christendom;KADOC Heilig Land;UDC 910.4 <33> Reisverhalen: Palestina; Heilig Land,Jérusalem,1869,,IE63416297
992859900101488,Guide-indicateur des sanctuaires et lieux historiques de la Terre-sainte,KADOC Heilig Land;KADOC Israël [land in werelddeel Azië];UDC 910.4 <33> Reisverhalen: Palestina; Heilig Land,Louvain,1876,,IE63410857|IE63411730|IE63413427
992860010101488,The last journals of bishop Hannington,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",London,1888,,IE63542111
992860040101488,La Galilée,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1896,,IE63342622
992860070101488,Orient et Italie,UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Paris,1868,,IE63346942
992860110101488,"The land and the Book; or, biblical illustrations drawn from the manners and customs, the scenes and scenery, of the Holy Land. Lebanon, Damascus and beyond Jordan","UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",London,1886,,IE63547717
992860170101488,"The land and the Book; or Biblical illustrations drawn from the manners and customs, the scenes and scenery of the Holy Land. Southern Palestine and Jerusalem","UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",London,1881,,IE63532297
992860670101488,Pèlerinage en Terre Sainte,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1855,,IE63424147
992860690101488,"The land and the Book; or, biblical illustrations drawn from the manners and customs, the scenes and scenery, of the Holy Land. Central Palestine and Phoenicia","UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",London,1883,,IE63529066
992860720101488,Les saints lieux pèlerinage à Jérusalem,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1876,,IE63449098|IE63451937|IE63455397
992860740101488,Voyages en Orient,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Paris,1880,,IE63428826
992860750101488,Souvenirs de mon pèlerinage en Terre-sainte {dollar}b caravane de 1878,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Rennes,1879,,IE63424317
993856090101488,Een reisje naar Rome en andere voorname steden van Italië in 1870,UDC 910.4 <45 ROMA> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië--ROMA,Brussel,1871,,IE63568377
994682630101488,"La guida de forestieri Curiosi di vedere, e di riconoscere le cose più memorabili di Pozzoli ...",UDC 910.4 <45> Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Italië,Napoli,1709,,IE63463877
996312580101488,"La Palestine, la Syria et l'Arabie, visitées avec Mgr. Valerga, patriarche de Jérusalem, vicaire apostolique d'Alep, et délégat apostolique de Syrie","UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899;KUL #SJ/LH/WMAG;KUL #BIBC:conversie A:2003.4",Paris,1886,,IE63572077|IE63573638
996565280101488,Les récits du pélérin ou voyage en Terre Sainte et dans le Liban,"UDC 910.4 <33> ""18"" Ontdekkingsreizen. Reizen. Expedities. Reisverhalen--<plaats>--Oud-Palestina. Judea--19e eeuw. Periode 1800-1899",Tournai,1865,,IE63434957|IE63443315
